home_team_name,away_team_name,Pre-Match PPG (Home),Pre-Match PPG (Away),home_ppg,away_ppg,home_team_goal_count,away_team_goal_count,home_team_goal_timings,away_team_goal_timings,home_team_corner_count,away_team_corner_count,home_team_yellow_cards,home_team_red_cards,away_team_yellow_cards,away_team_red_cards,home_team_shots,away_team_shots,home_team_shots_on_target,away_team_shots_on_target,home_team_shots_off_target,away_team_shots_off_target,home_team_fouls,away_team_fouls,home_team_possession,away_team_possession,Home Team Pre-Match xG,Away Team Pre-Match xG,team_a_xg,team_b_xg,average_goals_per_match_pre_match,btts_percentage_pre_match,average_corners_per_match_pre_match,average_cards_per_match_pre_match,Unnamed: 57
Atlético PR,Criciúma,3.0,2.0,2.6,1.75,3,1,"[22, 55, 79]",[8],5,3,0,0,1,0,18,10,8,5,10,5,9,12,66,34,1.66,1.38,2.11,1.12,2.5,25,9.00,4.0,
Bahia,Fortaleza,3.0,2.0,3.0,1.0,1,0,[79],[],5,9,6,0,1,0,10,15,4,7,6,8,14,9,54,46,1.32,0.96,1.46,1.82,1.59,42,9.17,7.17,
Palmeiras,Vasco da Gama,0.33,0.0,1.0,0.0,2,0,"[26, 56]",[],10,6,1,0,2,0,21,9,8,3,13,6,10,14,58,42,1.45,1.28,2.35,1.03,1.67,34,13.00,5.33,
Bragantino,Juventude,1.75,0.67,2.0,0.5,2,1,"[2, 82]",[25],1,1,4,1,4,0,4,12,3,7,1,5,12,13,36,64,1.45,1.17,0.76,1.58,2.79,88,9.42,8.42,
Fluminense,Atlético GO,1.5,1.0,1.2,1.4,1,2,[41],"[71, 90]",3,3,4,1,1,0,10,15,6,8,4,7,10,12,56,44,1.81,1.21,1.35,1.85,2.38,63,10.75,6.5,
Vitória,Internacional,0.25,2.0,1.17,1.5,2,1,"[8, 90]",[82],4,2,1,0,5,0,10,14,5,6,5,8,6,16,45,55,1.16,0.83,1.24,1.67,1.88,25,05.08,8.33,
Corinthians,São Paulo,1.25,1.75,1.2,1.6,2,2,"[31, 45]","[4, 41]",9,5,3,1,5,0,13,10,9,8,4,2,15,10,68,32,1.69,1.42,1.75,1.47,1.75,25,8.75,6.5,
Atlético PR,Flamengo,3.0,2.0,2.6,1.8,1,1,[90],[90],5,9,4,1,3,0,10,9,4,7,6,2,11,11,52,48,1.77,1.8,1.19,1.39,2.75,50,11.00,4.0,
Grêmio,Botafogo,2.0,1.75,1.5,2.0,1,2,[21],"[10, 57]",7,4,4,0,3,0,10,11,5,6,5,5,12,11,47,53,1.31,0.98,1.46,1.37,2.09,25,10.00,8.25,
Vasco da Gama,Cruzeiro,1.5,1.0,1.4,1.0,0,0,[],[],5,5,2,0,4,0,12,6,5,3,7,3,11,11,50,50,1.32,1.21,1.45,0.76,3.13,50,7.25,6.5,
Cuiabá,Fortaleza,0.25,1.33,0.8,1.0,5,0,"[3, 11, 37, 45, 54]",[],5,1,1,0,3,2,19,3,14,0,5,3,9,6,54,46,0.8,1.25,2.61,0.35,1.42,17,9.25,6.58,
Criciúma,Bahia,0.33,1.25,0.5,1.2,2,2,"[34, 46]","[56, 72]",6,7,3,1,1,0,12,17,6,7,6,10,14,13,31,69,1.49,1.23,1.45,1.93,3.5,100,07.08,9.25,
Atlético Mineiro,Palmeiras,1.67,2.5,1.25,2.6,0,4,[],"[25, 60, 61, 90]",3,6,5,2,3,0,9,18,4,10,5,8,16,16,49,51,1.61,1.51,1.06,2.13,1.92,46,12.25,6.83,
Botafogo,Atlético PR,2.25,1.0,2.0,1.0,1,1,[90],[53],5,9,0,0,6,0,9,12,2,7,7,5,13,15,62,38,1.66,1.16,1.07,1.6,2.25,38,12.50,7.0,
Atlético GO,Criciúma,0.25,1.33,0.2,1.75,1,2,[11],"[60, 90]",5,1,1,1,1,0,10,12,2,8,8,4,10,11,49,51,1.45,1.3,1.12,1.61,3.04,59,7.00,6.67,
São Paulo,Cuiabá,1.75,0.75,1.4,1.2,0,1,[],[82],4,6,2,0,4,0,16,11,5,4,11,7,5,16,59,41,1.48,1.25,1.79,1.21,2.88,50,9.50,6.5,
Fortaleza,Grêmio,1.5,0.0,1.8,0.0,1,0,[42],[],8,3,3,0,4,1,11,7,5,3,6,4,16,8,53,47,1.34,1.1,1.35,1.0,2.04,71,10.42,5.92,
Juventude,Vasco da Gama,2.0,0.0,2.2,0.0,2,0,"[52, 90]",[],5,4,2,0,3,1,11,6,5,3,6,3,13,18,61,39,1.35,1.22,1.26,0.82,2.0,50,10.75,4.75,
Internacional,Corinthians,1.67,0.25,2.0,0.2,1,0,[42],[],3,7,1,0,2,0,8,8,6,4,2,4,17,13,47,53,1.69,1.23,1.15,1.19,1.96,46,13.25,5.25,
Cruzeiro,Fluminense,3.0,0.0,3.0,0.0,2,0,"[41, 90]",[],6,5,3,0,2,0,13,9,6,5,7,4,16,11,34,66,1.62,0.91,1.52,1.33,3.25,75,11.58,6.25,
Vitória,Atlético Mineiro,0.8,2.0,1.17,1.6,4,2,"[8, 44, 66, 76]","[14, 88]",2,4,2,0,2,0,12,20,6,8,6,12,15,13,38,62,1.18,1.3,1.34,2.23,2.65,55,10.25,8.15,
